作品,人物,PageRank,介数中心性,度中心性,接近中心性
故事新编,养老,0.00858549422776421,0.0,0.011235955056179775,0.03677221654749744
故事新编,云罕,0.011111111111111112,0.0,0.011235955056179775,0.011235955056179775
故事新编,云罕旗,0.011111111111111112,0.0,0.011235955056179775,0.011235955056179775
故事新编,太公,0.021323888167802188,0.0007660878447395302,0.033707865168539325,0.033707865168539325
故事新编,姜太公,0.009720247234063223,0.0,0.011235955056179775,0.020224719101123594
故事新编,和叔齐,0.013198045935162573,0.0,0.011235955056179775,0.03677221654749744
故事新编,张开,0.003972942520365848,0.0,0.011235955056179775,0.03677221654749744
故事新编,于华山,0.011111111111111112,0.0,0.02247191011235955,0.02247191011235955
故事新编,归马,0.011111111111111112,0.0,0.02247191011235955,0.02247191011235955
故事新编,山之阳,0.011111111111111112,0.0,0.02247191011235955,0.02247191011235955
故事新编,伯夷叔,0.005126080447215438,0.0,0.011235955056179775,0.03677221654749744
故事新编,采薇,0.003972942520365848,0.0,0.011235955056179775,0.03677221654749744
故事新编,伯夷列,0.006279218374065029,0.0,0.011235955056179775,0.03677221654749744
故事新编,于首阳,0.006538788141001226,0.0,0.011235955056179775,0.031210986267166042
故事新编,武王,0.03153666522449327,0.002553626149131767,0.056179775280898875,0.056179775280898875
故事新编,王克商,0.008974848878168504,0.0,0.011235955056179775,0.031210986267166042
故事新编,太公望,0.007706852092214084,0.0,0.011235955056179775,0.020224719101123594
故事新编,诸侯,0.006538788141001226,0.0,0.011235955056179775,0.031210986267166042
故事新编,黄钺,0.006538788141001226,0.0,0.011235955056179775,0.031210986267166042
故事新编,姜尚,0.005693456950364945,0.0,0.011235955056179775,0.020224719101123594
故事新编,白之旗,0.006538788141001226,0.0,0.011235955056179775,0.031210986267166042
故事新编,玉集,0.011111111111111112,0.0,0.011235955056179775,0.011235955056179775
故事新编,王周,0.011111111111111112,0.0,0.011235955056179775,0.011235955056179775
呐喊,仲密,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,子里,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,爱罗先,0.023255813953488372,0.0,0.047619047619047616,0.047619047619047616
呐喊,鲁迅,0.023255813953488372,0.0,0.047619047619047616,0.047619047619047616
呐喊,童话集,0.023255813953488372,0.0,0.047619047619047616,0.047619047619047616
呐喊,单四,0.059059835589638364,0.008517228029423151,0.16666666666666666,0.1693121693121693
呐喊,单四嫂,0.059059835589638364,0.008517228029423151,0.16666666666666666,0.1693121693121693
呐喊,金心异,0.013154278661647758,0.0,0.023809523809523808,0.04285714285714285
呐喊,钱玄同,0.03411496440002758,0.0023228803716608595,0.07142857142857142,0.07142857142857142
呐喊,士成,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,陈士成,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
