work,character,sentiment
而已集,司马炎,negative
而已集,武庚,positive
而已集,诸侯,negative
而已集,老聃,positive
而已集,吴宓,positive
而已集,莫如,negative
而已集,晓澜,negative
而已集,朱家骅,negative
而已集,宝贵,negative
而已集,江霞,positive
而已集,孔庙,negative
而已集,王国维,positive
而已集,蒋彝潜,neutral
而已集,古董,neutral
而已集,胡玉缙,negative
而已集,武英殿,negative
而已集,余杭,positive
而已集,王独清,negative
而已集,孙伏园,negative
而已集,爱弥尔,negative
而已集,公冶长,negative
而已集,仁义,neutral
而已集,黎锦明,negative
而已集,诸四裔,negative
而已集,冷笑,neutral
而已集,白话文,neutral
而已集,黄帝,negative
而已集,泰戈尔,negative
而已集,兰谱,positive
而已集,李大钊,positive
而已集,邵振青,positive
而已集,赵子昂,neutral
而已集,大衍,positive
而已集,颜之推,positive
而已集,汉风,negative
而已集,祖宗,negative
而已集,玄灵,negative
而已集,刘师培,negative
而已集,徐干,negative
而已集,袁氏,neutral
而已集,甄氏,neutral
而已集,曹氏,positive
而已集,葛洪,negative
而已集,夏侯,neutral
而已集,高超,neutral
而已集,魏末,positive
而已集,子之,positive
而已集,管蔡论,negative
而已集,吕安,positive
而已集,史实,positive
而已集,阮咸,positive
而已集,希奇,negative
而已集,刘勰,negative
而已集,采菊,negative
而已集,彭泽,positive
而已集,易代,negative
而已集,武帝,negative
而已集,魏武帝,negative
而已集,元末明,negative
而已集,范丹,positive
而已集,于建安,negative
而已集,李善,neutral
而已集,魏文帝,neutral
而已集,隋书,positive
而已集,魏明帝,negative
而已集,杨修,positive
而已集,陈留阮,neutral
而已集,陈留尉,negative
而已集,尉氏,negative
而已集,刘表,positive
而已集,曹爽传,neutral
而已集,老庄,neutral
而已集,道德,neutral
而已集,魏略,negative
而已集,何平叔,neutral
而已集,刘孝,positive
而已集,桓温,neutral
而已集,王忱,negative
而已集,太初,positive
而已集,司马师,negative
而已集,刘义庆,negative
而已集,南朝梁,negative
而已集,刘裕,negative
而已集,徐叔,negative
而已集,王思,neutral
而已集,山涛,positive
而已集,向秀,neutral
而已集,嵇康传,positive
而已集,博览,negative
而已集,玄远,negative
而已集,嵇康集,neutral
而已集,武王,positive
而已集,禄父,negative
而已集,周公旦,negative
而已集,曹郎,positive
而已集,闻喜,negative
而已集,庄子,neutral
而已集,通达,positive
而已集,杨朱,negative
而已集,文明,negative
而已集,阿拉伯,neutral
而已集,余裕,negative
而已集,向前走,neutral
而已集,才子佳人,negative
而已集,刘邦,negative
而已集,秦法,negative
而已集,戴季陶,negative
而已集,曾国藩,negative
而已集,高祖,negative
而已集,辟才,negative
而已集,樊增祥,negative
而已集,许寿裳,negative
而已集,介亭,negative
而已集,布政使,negative
而已集,若夫,negative
而已集,沙嘴,neutral
而已集,茅亭客,neutral
而已集,罗素,neutral
而已集,饶汉祥,negative
而已集,张嘴,positive
而已集,雍正,neutral
而已集,金梁,positive
而已集,蒋先生,positive
而已集,罗马字,positive
而已集,胡先生,neutral
而已集,念兹在兹,negative
而已集,司马法,neutral
而已集,溥仪,positive
而已集,梁启超,negative
而已集,蒋径,negative
而已集,胡子,negative
而已集,苗瑶,negative
而已集,成仿吾,negative
而已集,霍普,negative
而已集,卫灵公,positive
而已集,阿嶷,negative
而已集,爱弥儿,negative
而已集,辛克莱,positive
而已集,秋瑾,negative
而已集,仁兄,negative
而已集,吉祥,positive
而已集,绍兴人,negative
而已集,徐锡麟,negative
而已集,小宝,positive
而已集,熊履堂,positive
而已集,迟暮,positive
而已集,张秀哲,negative
而已集,徐先生,positive
而已集,徐祖正,negative
而已集,冯妇,neutral
而已集,张之洞,negative
而已集,瓦浪斯,negative
而已集,老翁,negative
而已集,不免有些,positive
而已集,凌迟,negative
而已集,莫斯科,positive
而已集,李老板,negative
而已集,蔡松坡,negative
而已集,徐志摩,neutral
而已集,吴友如,positive
而已集,安徒生,negative
而已集,耶稣,negative
而已集,马裕藻,positive
而已集,沈兼士,neutral
而已集,富豪,negative
而已集,老婆子,negative
而已集,史疑,negative
而已集,浮士德,negative
而已集,马寅初,negative
而已集,余蕙,positive
而已集,荻海,positive
而已集,士大夫,neutral
而已集,班固,negative
而已集,尚通,negative
而已集,孔教,positive
而已集,时髦,negative
而已集,操独,neutral
而已集,魏初,negative
而已集,宁可,negative
而已集,易经,neutral
而已集,石钟乳,negative
而已集,白石英,negative
而已集,紫石英,negative
而已集,衣少,negative
而已集,高逸,negative
而已集,高耸,negative
而已集,墨涂唇,negative
而已集,衣大,neutral
而已集,祖父母,positive
而已集,晋礼,negative
而已集,王何,negative
而已集,晋朝人,positive
而已集,阮二人,negative
而已集,阮得,negative
而已集,终其天年,negative
而已集,嵇竟,negative
而已集,解兮,positive
而已集,何怀,positive
而已集,殷民,neutral
而已集,汤武周,negative
而已集,嵇阮,positive
而已集,纪念周,positive
而已集,阮浑,negative
而已集,阿咸,negative
而已集,宛然,negative
而已集,嵇康师,negative
而已集,魏末晋,negative
而已集,陶集,negative
而已集,林云,negative
而已集,刘懋,negative
而已集,巨鹿,negative
而已集,汉灵帝,negative
而已集,黄巾军,negative
而已集,苍天,neutral
而已集,仲颖,negative
而已集,刘辩,neutral
而已集,刘协,neutral
而已集,韩馥,positive
而已集,王允,negative
而已集,吕布,negative
而已集,宫殿,negative
而已集,郭汜,positive
而已集,刘汉,positive
而已集,桓帝延,positive
而已集,尉李膺,positive
而已集,太仆杜,positive
而已集,郭泰,positive
而已集,贾彪,positive
而已集,桓帝,positive
而已集,李膺,positive
而已集,黄巾起义,negative
而已集,孟德,negative
而已集,封魏王,negative
而已集,子曹丕,negative
而已集,罗贯中,negative
而已集,吴兴,negative
而已集,清嘉庆,negative
而已集,蒋壑,negative
而已集,王毓藻,negative
而已集,无锡人,negative
而已集,申叔,positive
而已集,孙毓筠,positive
而已集,刘申叔,positive
而已集,裴松之,negative
而已集,魏武,negative
而已集,闻里,neutral
而已集,童仆,neutral
而已集,言汝,neutral
而已集,丹闻,negative
而已集,范冉,negative
而已集,史云,neutral
而已集,陈留外,negative
而已集,王沈,negative
而已集,郭景图,negative
而已集,郑康成,negative
而已集,余香,negative
而已集,诸舍中,negative
而已集,印绶,negative
而已集,吴郡,negative
而已集,华亭,negative
而已集,萧统,negative
而已集,裘绂,negative
而已集,言裘绂,negative
而已集,张绣,negative
而已集,封陈王,negative
而已集,陈思王,negative
而已集,丁晏,positive
而已集,曹集,positive
而已集,元仲,negative
而已集,梁昭明,negative
而已集,齐梁间,negative
而已集,戈蒂叶,negative
而已集,荣乐,neutral
而已集,古之,negative
而已集,杨德祖,negative
而已集,扬子,neutral
而已集,云先朝,neutral
而已集,金石之功,neutral
而已集,丁仪,positive
而已集,吴伐蜀,negative
而已集,孔璋,negative
而已集,徐干伟,negative
而已集,斯七子,negative
而已集,于学无,negative
而已集,咸以自骋骥,negative
而已集,马录,negative
而已集,高平,negative
而已集,侍中,negative
而已集,班俦,negative
而已集,屠邺城,neutral
而已集,融乃,negative
而已集,章怀太子,negative
而已集,李贤,negative
而已集,夏商亦,negative
而已集,惜谷耳,negative
而已集,郗虑复,positive
而已集,路粹枉,positive
而已集,亦复奚,negative
