work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
朝花夕拾,OVERALL,56,53.333333333333336,8.102564102564104,6.708262108262108,13
朝花夕拾,OVERALL,57,54.285714285714285,7.466666666666666,6.717521367521368,10
朝花夕拾,OVERALL,58,55.23809523809524,4.583333333333333,6.033333333333332,16
朝花夕拾,OVERALL,59,56.19047619047619,6.05,6.248148148148148,20
朝花夕拾,OVERALL,60,57.14285714285714,8.11111111111111,6.164814814814815,15
朝花夕拾,OVERALL,61,58.0952380952381,4.333333333333334,6.764814814814815,11
朝花夕拾,OVERALL,62,59.04761904761905,7.85,7.973391812865497,20
朝花夕拾,OVERALL,63,60.0,11.736842105263158,10.084502923976608,19
朝花夕拾,OVERALL,64,60.952380952380956,10.666666666666666,8.34283625730994,7
朝花夕拾,OVERALL,65,61.904761904761905,2.625,5.763888888888888,8
朝花夕拾,OVERALL,66,62.857142857142854,4.0,3.4953703703703702,10
朝花夕拾,OVERALL,67,63.8095238095238,3.8611111111111107,4.128306878306878,12
朝花夕拾,OVERALL,68,64.76190476190476,4.523809523809524,3.8975376475376478,14
朝花夕拾,OVERALL,69,65.71428571428571,3.3076923076923075,3.7271672771672772,13
朝花夕拾,OVERALL,70,66.66666666666666,3.35,3.355033238366572,20
朝花夕拾,OVERALL,71,67.61904761904762,3.4074074074074074,3.157231040564374,9
朝花夕拾,OVERALL,72,68.57142857142857,2.7142857142857144,3.3935055503682956,21
朝花夕拾,OVERALL,73,69.52380952380952,4.0588235294117645,3.968814192343604,17
朝花夕拾,OVERALL,74,70.47619047619048,5.133333333333333,4.901089324618735,25
朝花夕拾,OVERALL,75,71.42857142857143,5.51111111111111,4.863937621832358,15
朝花夕拾,OVERALL,76,72.38095238095238,3.9473684210526314,4.691288049182785,19
朝花夕拾,OVERALL,77,73.33333333333333,4.615384615384615,4.437584345479082,13
朝花夕拾,OVERALL,78,74.28571428571429,4.75,4.685897435897435,8
朝花夕拾,OVERALL,79,75.23809523809524,4.6923076923076925,3.7863247863247866,26
朝花夕拾,OVERALL,80,76.19047619047619,1.9166666666666667,3.1236263736263736,12
朝花夕拾,OVERALL,81,77.14285714285715,2.761904761904762,2.5039682539682544,7
朝花夕拾,OVERALL,82,78.0952380952381,2.8333333333333335,3.33367839889579,16
朝花夕拾,OVERALL,83,79.04761904761905,4.405797101449275,4.758722490606549,23
朝花夕拾,OVERALL,84,80.0,7.037037037037036,5.2486214805055385,9
朝花夕拾,OVERALL,85,80.95238095238095,4.303030303030304,6.063973063973063,22
朝花夕拾,OVERALL,86,81.9047619047619,6.851851851851852,6.051627384960718,18
朝花夕拾,OVERALL,87,82.85714285714286,7.0,6.2583095916429246,2
朝花夕拾,OVERALL,88,83.80952380952381,4.923076923076923,5.47940947940948,13
